,0
0480,-7.60613
0481,-7.91335
0482,-6.77498
0483,-7.33716
0484,-7.7605
0485,-7.98965
0486,-7.67165
0487,-7.63113
0488,-7.84845
0489,-7.21465
0490,-7.52848
0491,-7.65132
0492,-8.28624
0493,-7.94275
0494,-7.57938
0495,-7.59756
0496,-7.72909
0497,-7.74481
0498,-7.70568
0499,-8.59927
0500,-7.72018
0501,-8.05809
0502,-7.32957
0503,-7.99254
0504,-7.72177
0505,-7.57627
0506,-7.11618
0507,-7.62984
0508,-8.22937
0509,-8.08549
0510,-6.8664
0511,-7.66425
0512,-8.38509
0513,-7.81901
0514,-7.14337
0515,-7.3236
0516,-8.02808
0517,-8.75933
0518,-8.02085
0519,-7.75561
0520,-7.97584
0521,-7.57216
0522,-7.84852
0523,-7.85298
0524,-7.31567
0525,-7.51248
0526,-7.85164
0527,-7.15009
0528,-7.86106
0529,-7.31478
0530,-7.83201
0531,-8.71755
0532,-8.54035
0533,-7.38929
0534,-6.271
0535,-7.29384
0536,-6.53227
0537,-6.52928
0538,-7.30174
0539,-6.66788
0540,-8.57507
0541,-7.78337
0542,-7.79774
0543,-7.92011
0544,-7.28378
0545,-6.51803
0546,-6.69292
0547,-5.85591
0548,-6.87784
0549,-7.14148
0550,-7.46635
0551,-6.42613
0552,-7.79315
0553,-6.5594
0554,-7.33351
0555,-7.89963
0556,-7.71193
0557,-6.52068
0558,-7.08339
0559,-7.40003
0560,-6.80158
0561,-6.23814
0562,-7.02014
0563,-6.3542
0564,-7.68418
0565,-7.0568
0566,-7.86746
0567,-6.71213
0568,-6.56341
0569,-7.12388
0570,-7.80958
0571,-7.40934
0572,-6.95088
0573,-7.2539
0574,-7.50658
0575,-7.29478
0576,-6.54328
0577,-6.46436
0578,-7.2046
0579,-7.70511
0580,-8.31943
0581,-7.57145
0582,-7.80712
0583,-8.1089
0584,-7.15589
0585,-7.65151
0586,-7.45492
0587,-8.56479
0588,-7.64887
0589,-7.06661
0590,-8.34857
0591,-7.34092
0592,-7.19771
0593,-7.55005
0594,-8.06848
0595,-7.47273
0596,-8.09874
0597,-7.22467
0598,-8.18161
0599,-7.43163
0600,-8.79313
0601,-7.4388
0602,-7.27452
0603,-8.16913
0604,-7.71115
0605,-8.21586
0606,-8.60975
0607,-7.45774
0608,-6.81928
0609,-7.78553
0610,-8.70391
0611,-7.7807
0612,-7.81087
0613,-8.03377
0614,-7.77939
0615,-8.60237
0616,-8.43527
0617,-8.75038
0618,-8.41476
0619,-8.71167
0620,-8.07602
0621,-8.5612
0622,-8.17817
0623,-8.25189
0624,-8.56146
0625,-8.70333
0626,-9.13485
0627,-7.57672
0628,-8.15655
0629,-8.68786
0630,-8.37729
0631,-8.46107
0632,-8.25736
0633,-8.01421
0634,-8.59208
0635,-9.45564
0636,-8.34661
0637,-8.85212
0638,-8.48189
0639,-8.3818
0640,-8.40292
0641,-9.10126
0642,-8.35139
0643,-7.90809
0644,-7.90908
0645,-7.75788
0646,-7.9502
0647,-8.23967
0648,-8.08397
0649,-8.08637
0650,-7.6793
0651,-7.64256
0652,-8.05911
0653,-8.26541
