,0
0210,-8.43946
0211,-9.52353
0212,-8.61961
0213,-9.11814
0214,-8.79595
0215,-9.11797
0216,-9.82073
0217,-9.37614
0218,-8.94087
0219,-9.35163
0220,-7.61475
0221,-8.86569
0222,-9.94108
0223,-8.53019
0224,-8.95365
0225,-10.22317
0226,-9.67763
0227,-8.93548
0228,-9.17214
0229,-8.2265
0230,-10.46708
0231,-8.80598
0232,-8.9467
0233,-8.85769
0234,-8.69712
0235,-8.9855
0236,-9.05438
0237,-7.96276
0238,-8.64264
0239,-8.09396
0240,-8.38402
0241,-9.79859
0242,-8.81274
0243,-8.53761
0244,-8.81184
0245,-8.60199
0246,-8.7866
0247,-8.56736
0248,-8.44157
0249,-8.79407
0250,-9.16735
0251,-8.88281
0252,-9.11115
0253,-8.56919
0254,-9.12782
0255,-9.16498
0256,-8.75158
0257,-8.91533
0258,-8.382
0259,-8.91997
0260,-9.29889
0261,-8.33502
0262,-8.54269
0263,-9.06506
0264,-7.86019
0265,-10.11507
0266,-8.36268
0267,-9.12725
0268,-8.87411
0269,-8.52228
0270,-8.78943
0271,-9.40821
0272,-8.92505
0273,-8.35137
0274,-8.53564
0275,-8.75774
0276,-8.73325
0277,-9.14202
0278,-9.31705
0279,-9.36085
0280,-8.42639
0281,-9.6688
0282,-8.33037
0283,-8.76881
0284,-8.37038
0285,-9.24795
0286,-8.30338
0287,-9.36135
0288,-9.88043
0289,-9.82253
0290,-8.92277
0291,-8.795
0292,-9.38876
0293,-8.60863
0294,-8.23735
0295,-8.9821
0296,-7.45484
0297,-8.51593
0298,-8.86131
0299,-8.98579
0300,-8.32565
0301,-7.67291
0302,-8.44486
0303,-8.1275
0304,-7.60073
0305,-8.07788
0306,-8.99576
0307,-7.89347
0308,-8.58186
0309,-8.58167
0310,-8.0082
0311,-7.79921
0312,-7.9845
0313,-8.18791
0314,-7.48144
0315,-8.91078
0316,-8.02322
0317,-8.88768
0318,-8.28561
0319,-9.13516
0320,-8.08907
0321,-7.86984
0322,-7.96571
0323,-8.52854
0324,-8.65365
0325,-8.2791
0326,-7.46035
0327,-8.3788
0328,-8.20766
0329,-8.52348
0330,-8.5907
0331,-8.02386
0332,-8.91845
0333,-8.3396
0334,-8.54096
0335,-8.75882
0336,-8.32632
0337,-7.88294
0338,-9.18907
0339,-7.6537
0340,-7.62539
0341,-6.8506
0342,-6.60719
0343,-8.30383
0344,-7.57491
0345,-8.19936
0346,-8.90148
0347,-7.5845
0348,-7.32597
0349,-7.45959
0350,-7.40103
0351,-6.96498
0352,-7.36718
0353,-6.81633
0354,-7.0569
0355,-8.67006
0356,-8.86636
0357,-8.35574
0358,-8.65279
0359,-9.28283
0360,-9.45422
0361,-9.24078
0362,-8.98675
0363,-8.3393
0364,-8.52108
0365,-8.98925
0366,-8.54519
0367,-9.01077
0368,-9.50202
0369,-9.11267
0370,-8.3145
0371,-8.7554
0372,-9.16511
0373,-9.42855
0374,-9.55024
0375,-8.32194
0376,-8.9662
0377,-8.35979
0378,-8.93625
0379,-8.76664
0380,-8.87053
0381,-8.93455
